X,Y,OBJECTID,CASE_ID,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,COUNTY,CITY_TIMS,POINT_X,POINT_Y,CRASH_TYPE,YEAR
-118.265202306784,33.9410448816648,17431,9019362,2019,2019/12/16 00:00:00+00,2120,1,AVALON ST,105TH ST, ,Y,N, , ,2,0,2,1,1,0,0,0,0,0,0,2,LOS ANGELES,LOS ANGELES,-118.26519012,33.94104004,AUTO-AUTO,2022
-118.295864851411,33.9891367739315,17432,9019937,2019,2019/12/01 00:00:00+00,1600,7,SLAUSON AV,BUDLONG ST, ,Y,N, , ,2,0,4,1,1,2,0,0,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.29585266,33.98913193,AUTO-AUTO,2022
-118.08162380046,34.1462260361854,17433,9020030,2019,2019/12/12 00:00:00+00,1714,4,COLORADO BL,MADRE BL, ,Y,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,PASADENA,-118.08161163,34.14622116,AUTO-PEDESTRIAN,2022
-117.719283954994,34.0813578823658,17434,9021112,2019,2019/11/07 00:00:00+00,0527,4,INDIAN HILL BL,RT 10, ,Y,Y,10,4,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,CLAREMONT,-117.72151184,34.08160782,AUTO-AUTO,2022
-118.28741911955,34.098134131052,17435,9021695,2019,2019/12/03 00:00:00+00,1050,2,HILLHURST AV,W SUNSET PL, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.28740692,34.09812927,AUTO-AUTO,2022
-117.899403308711,34.1215640266277,17436,9034797,2019,2019/12/27 00:00:00+00,1042,5,1ST ST,CERRITOS AV, ,Y,N, , ,2,0,2,1,1,0,0,0,0,0,0,0,LOS ANGELES,AZUSA,-117.89939117,34.12155914,AUTO-AUTO,2022
-118.493931598025,34.0122347566095,17437,9052111,2019,2019/06/13 00:00:00+00,1703,4,2ND ST,COLORADO AV, ,Y,N, , ,2,0,2,1,1,0,0,1,0,1,0,0,LOS ANGELES,SANTA MONICA,-118.49391937,34.01222992,AUTO-BICYCLIST,2022
-118.472271745093,34.034958912553,17438,9052341,2019,2019/05/04 00:00:00+00,1837,6,SANTA MONICA PL N,HARVARD ST,E,N,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,SANTA MONICA,-118.47225952,34.03495407,AUTO-PEDESTRIAN,2022
-118.406315622822,34.0863543379784,17439,9054593,2019,2019/11/01 00:00:00+00,1233,5,E SUNSET BL,N FOOTHILL RD, ,Y,N, , ,2,0,2,1,0,1,0,0,0,0,0,0,LOS ANGELES,BEVERLY HILLS,-118.40630341,34.08634949,AUTO-AUTO,2022
-117.789448456051,34.1214457767218,17440,9192141,2019,2019/10/02 00:00:00+00,1634,3,BASELINE RD,FOOTHILL BL, ,Y,N, , ,2,0,2,1,1,0,0,0,0,1,0,0,LOS ANGELES,LA VERNE,-117.78943634,34.12144089,AUTO-BICYCLIST,2022
-118.041082304963,34.66970494592,17441,90032224,2015,2015/10/04 00:00:00+00,1415,7,50TH STREET EAST,AVENUE K-6, ,Y,N, , ,2,0,2,1,1,0,0,0,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.0410701,34.66970001,AUTO-AUTO,2022
